candidate,TP,SL,feePct,totalSignals,actualEntries,ignoredSignals,completedTrades,longEntries,shortEntries,tpHits,slHits,bailoutHits,openAtSessionEnd,winRate,avgHoldMs,medianHoldMs,maxHoldMs,grossPnlUsdt,feesUsdt,netPnlUsdt,startEqUsdt,endEqUsdt,maxDrawdownUsdt,tradesPerHour
A,0.5,0.3,0.00075,165,16,149,8,8,8,0,8,0,8,0,606963.75,636737,659568,-0.3668000000000007,0.17770410000000003,-0.5445041000000007,3.488372093023256,2.9438679930232543,0.5445041000000015,32
A,0.5,0.3,0.0005,165,20,145,9,11,9,0,9,0,11,0,601768.7777777778,576379,659568,-0.41160000000000174,0.13328,-0.5448800000000018,3.488372093023256,2.9434920930232544,0.5448800000000014,36
A,0.5,0.5,0.001,165,165,0,0,102,63,0,0,0,165,0,0,0,0,0,0,0,3.488372093023256,3.488372093023256,0,0
A,0.5,0.5,0.00075,165,165,0,0,102,63,0,0,0,165,0,0,0,0,0,0,0,3.488372093023256,3.488372093023256,0,0
A,0.5,0.5,0.0005,165,165,0,0,102,63,0,0,0,165,0,0,0,0,0,0,0,3.488372093023256,3.488372093023256,0,0
B,0.1,0.1,0.001,96,23,73,23,15,8,15,8,0,0,0.6521739130434783,305452.39130434784,322343,436914,0.1105999999999969,0.6805694000000002,-0.5699694000000033,3.488372093023256,2.918402693023252,0.5699694000000037,92
B,0.1,0.1,0.00075,96,29,67,29,18,11,18,11,0,0,0.6206896551724138,278553.1724137931,277815,436914,0.1105999999999949,0.64357965,-0.532979650000005,3.488372093023256,2.9553924430232503,0.5329796500000055,116
B,0.1,0.1,0.0005,96,69,27,66,50,19,47,19,0,3,0.7121212121212122,185237.45454545456,175058,436914,0.44379999999999026,0.9770019000000002,-0.5332019000000099,3.488372093023256,2.955170193023245,0.533201900000011,264
B,0.1,0.15,0.001,96,22,74,22,15,7,15,7,0,0,0.6818181818181818,311692.45454545453,327417,442326,0.1161999999999978,0.6510014000000002,-0.5348014000000023,3.488372093023256,2.9535706930232526,0.5348014000000032,88
B,0.1,0.15,0.00075,96,27,69,27,16,11,16,11,0,0,0.5925925925925926,287994.1111111111,309183,442326,0.043399999999998363,0.5992192500000002,-0.5558192500000019,3.488372093023256,2.9325528430232533,0.5558192500000025,108
B,0.1,0.15,0.0005,96,58,38,58,41,17,41,17,0,0,0.7068965517241379,192280.7931034483,179996,442326,0.3191999999999941,0.8583778,-0.5391778000000058,3.488372093023256,2.9491942930232486,0.5391778000000071,232
B,0.1,0.2,0.001,96,16,80,16,9,7,9,7,0,0,0.5625,394095,383082,546259,-0.0685999999999993,0.4735430000000001,-0.5421429999999994,3.488372093023256,2.946229093023255,0.5421430000000007,64
B,0.1,0.2,0.00075,96,25,71,25,16,9,16,9,0,0,0.64,333709.12,354100,546259,0.0027999999999974504,0.5548935,-0.5520935000000026,3.488372093023256,2.9362785930232524,0.5520935000000033,100
B,0.1,0.2,0.0005,96,44,52,44,30,14,30,14,0,0,0.6818181818181818,252485,215546,546259,0.08399999999999526,0.6510826,-0.5670826000000047,3.488372093023256,2.9212894930232496,0.5670826000000062,176
B,0.1,0.25,0.001,96,16,80,16,9,7,9,7,0,0,0.5625,401762.75,384139,566959,-0.1119999999999996,0.4735864000000001,-0.5855863999999997,3.488372093023256,2.9027856930232554,0.5855864000000004,64
B,0.1,0.25,0.00075,96,23,73,23,15,8,15,8,0,0,0.6521739130434783,347985.4347826087,354731,566959,-0.03360000000000324,0.5105352000000001,-0.5441352000000033,3.488372093023256,2.944236893023252,0.5441352000000039,92
B,0.1,0.25,0.0005,96,37,59,37,25,12,25,12,0,0,0.6756756756756757,287354.2702702703,305611,566959,-0.01680000000000262,0.5475456,-0.5643456000000026,3.488372093023256,2.9240264930232525,0.5643456000000033,148
B,0.1,0.3,0.001,96,15,81,15,9,6,9,6,0,0,0.6,434139.8,383082,659568,-0.11760000000000248,0.44402680000000005,-0.5616268000000025,3.488372093023256,2.9267452930232536,0.5616268000000022,60
B,0.1,0.3,0.00075,96,22,74,22,15,7,15,7,0,0,0.6818181818181818,374355.54545454547,355614,659568,-0.04480000000000505,0.4883718000000001,-0.5331718000000051,3.488372093023256,2.9552002930232497,0.5331718000000061,88
B,0.1,0.3,0.0005,96,26,70,26,16,10,16,10,0,0,0.6153846153846154,366394.92307692306,355614,659568,-0.16240000000000754,0.38479700000000006,-0.5471970000000076,3.488372093023256,2.941175093023248,0.5471970000000077,104
B,0.1,0.5,0.001,96,60,36,43,43,17,43,0,0,17,1,174071.16279069768,141473,399672,0.7349999999999884,1.2728449999999996,-0.5378450000000111,3.488372093023256,2.950527093023244,0.5378450000000119,172
