candidate,TP,SL,attemptedEntries,completedTrades,openAtSessionEnd,tpHits,slHits,winRate,avgHoldMs,grossPnlUsdt,feesUsdt,netPnlUsdt
B,0.1,0.75,96,56,40,56,0,1,169311.89285714287,0.935199999999988,1.6584987999999996,-0.7232988000000116
B,0.1,1,96,56,40,56,0,1,169311.89285714287,0.935199999999988,1.6584987999999996,-0.7232988000000116
B,0.1,1.5,96,56,40,56,0,1,169311.89285714287,0.935199999999988,1.6584987999999996,-0.7232988000000116
B,0.15,0.08,96,74,22,42,32,0.5675675675675675,201217.45945945947,0.4619999999999956,2.1914507999999997,-1.7294508000000042
B,0.15,0.1,96,70,26,42,28,0.6,205927,0.4522000000000043,2.0728694000000005,-1.6206693999999962
B,0.15,0.12,96,68,28,42,26,0.6176470588235294,210636.92647058822,0.44939999999999763,2.013576600000001,-1.5641766000000032
B,0.15,0.15,96,61,35,42,19,0.6885245901639344,224824.16393442624,0.5180000000000065,1.8059692,-1.2879691999999936
B,0.15,0.2,96,57,39,42,15,0.7368421052631579,255604.54385964913,0.4718000000000027,1.6874605999999996,-1.215660599999997
B,0.15,0.25,96,57,39,42,15,0.7368421052631579,261692.0350877193,0.37239999999999956,1.68756,-1.3151600000000003
B,0.15,0.3,96,57,39,42,15,0.7368421052631579,281848.2631578947,0.2687999999999943,1.6876636000000005,-1.418863600000006
B,0.15,0.5,96,42,54,42,0,1,228754.85714285713,0.9477999999999999,1.2434113999999998,-0.29561139999999997
B,0.15,0.75,96,42,54,42,0,1,228754.85714285713,0.9477999999999999,1.2434113999999998,-0.29561139999999997
B,0.15,1,96,42,54,42,0,1,228754.85714285713,0.9477999999999999,1.2434113999999998,-0.29561139999999997
B,0.15,1.5,96,42,54,42,0,1,228754.85714285713,0.9477999999999999,1.2434113999999998,-0.29561139999999997
B,0.2,0.08,96,73,23,41,32,0.5616438356164384,240350.42465753425,0.8119999999999759,2.16216,-1.3501600000000242
B,0.2,0.1,96,69,27,41,28,0.5942028985507246,247396.79710144928,0.802199999999984,2.0435786000000005,-1.2413786000000164
B,0.2,0.12,96,67,29,41,26,0.6119402985074627,253414.92537313432,0.7993999999999777,1.9842858,-1.1848858000000224
B,0.2,0.15,96,60,36,41,19,0.6833333333333333,272829.38333333336,0.8679999999999861,1.7766783999999995,-0.9086784000000134
B,0.2,0.2,96,56,40,41,15,0.7321428571428571,307588.35714285716,0.8217999999999825,1.6581697999999996,-0.836369800000017
B,0.2,0.25,96,56,40,41,15,0.7321428571428571,313784.5535714286,0.7223999999999796,1.6582691999999994,-0.9358692000000198
B,0.2,0.3,96,56,40,41,15,0.7321428571428571,334300.71428571426,0.6187999999999743,1.6583727999999998,-1.0395728000000255
B,0.2,0.5,96,41,55,41,0,1,299102.26829268294,1.2977999999999803,1.2141205999999998,0.08367939999998053
B,0.2,0.75,96,41,55,41,0,1,299102.26829268294,1.2977999999999803,1.2141205999999998,0.08367939999998053
B,0.2,1,96,41,55,41,0,1,299102.26829268294,1.2977999999999803,1.2141205999999998,0.08367939999998053
B,0.2,1.5,96,41,55,41,0,1,299102.26829268294,1.2977999999999803,1.2141205999999998,0.08367939999998053
B,0.25,0.08,96,69,27,37,32,0.5362318840579711,262472.47826086957,0.9295999999999967,2.0437900000000004,-1.1141900000000038
B,0.25,0.1,96,65,31,37,28,0.5692307692307692,271313.8307692308,0.9198000000000048,1.9252086000000008,-1.005408599999996
B,0.25,0.12,96,63,33,37,26,0.5873015873015873,278473.3333333333,0.9169999999999974,1.8659158000000005,-0.9489158000000031
