symbol,event,window,observations,mean_ret,median_ret,pos_pct,neg_pct,mfe,mae,baseline,diff,tp_hit,sl_hit,ambiguous,category
B-TIA_USDT,C_BUY_SURGE,10000,23,-0.00001221282296632546,0,0.2608695652173913,0.34782608695652173,0.0003367599336983777,0.0003492165675768361,0.000012216844508974964,-0.000024429667475300426,2,1,0,C) NO OBSERVED EDGE
B-TIA_USDT,C_BUY_SURGE,30000,23,-0.0001044617189825595,-0.0003030762236703879,0.34782608695652173,0.5652173913043478,0.0005081747842500664,0.000573255531519403,0.0000688772430582712,-0.0001733389620408307,3,3,0,B) WEAK
B-TIA_USDT,C_BUY_SURGE,60000,23,-0.00002556638372847214,0,0.34782608695652173,0.4782608695652174,0.0007589381979383543,0.0007973427124690467,0.00012003569071971624,-0.00014560207444818838,5,8,0,B) WEAK
B-TIA_USDT,C_BUY_SURGE,180000,23,0.00005535545958684597,-0.00030381285128357584,0.43478260869565216,0.5217391304347826,0.0016173226927347726,0.001284666320745264,0.00034374153702016895,-0.00028838607743332295,10,12,0,B) WEAK
B-TIA_USDT,A_BULL_T1_>0.85,5000,140,0.0001517733584926976,0,0.39285714285714285,0.09285714285714286,0.00030342242029340205,0.00017335537405803128,0.000020118075413262006,0.0001316552830794356,2,1,0,B) WEAK
B-TIA_USDT,A_BULL_T1_>0.85,10000,140,0.00016817446321834025,0,0.45,0.1357142857142857,0.0004204894931154375,0.00020146953536107363,0.000012216844508974964,0.0001559576187093653,13,1,0,B) WEAK
B-TIA_USDT,A_BULL_T1_>0.85,30000,138,0.00017646164142348653,0,0.47101449275362317,0.3188405797101449,0.0006786329407442362,0.0003768458714058081,0.0000688772430582712,0.00010758439836521533,32,14,0,B) WEAK
B-TIA_USDT,A_BULL_T1_>0.85,60000,138,0.00025177392386402007,0,0.45652173913043476,0.4057971014492754,0.0009736614901363173,0.000586842392583756,0.00012003569071971624,0.00013173823314430384,49,30,0,B) WEAK
B-TIA_USDT,A_BULL_T1_>0.85,180000,133,0.0006796881007813113,0.0006079951360388446,0.5939849624060151,0.3458646616541353,0.001808757324650423,0.0009674496413401336,0.00034374153702016895,0.0003359465637611423,79,45,0,B) WEAK
B-TIA_USDT,A_BULL_T1_0.55-0.65,5000,51,0.000005875992903924155,0,0.17647058823529413,0.1568627450980392,0.0002290280664534925,0.00020531665800638032,0.000020118075413262006,-0.000014242082509337851,1,1,0,C) NO OBSERVED EDGE
B-TIA_USDT,A_BULL_T1_0.55-0.65,10000,51,-0.00000306226292902556,0,0.23529411764705882,0.23529411764705882,0.0002885310434390309,0.00028270709809632803,0.000012216844508974964,-0.000015279107438000524,4,2,0,C) NO OBSERVED EDGE
B-TIA_USDT,A_BULL_T1_0.55-0.65,30000,51,0.00008344172399182712,0,0.43137254901960786,0.35294117647058826,0.0005145919243322961,0.000520465926312662,0.0000688772430582712,0.000014564480933555924,10,7,0,C) NO OBSERVED EDGE
