symbol,timestamp,bestBid,bestAsk,mid,spread,spreadPct,bidQty1,askQty1,bidQty5,askQty5,imbalance1,imbalance5
B-TIA_USDT,1789559305595,0.3303,0.3304,0.33035000000000003,0.0001000000000000445,0.0003027550711475765,5510,1475,152090,56104,0.7888332140300645,0.7305205721586597
B-TIA_USDT,1789559307802,0.3303,0.3304,0.33035000000000003,0.0001000000000000445,0.0003027550711475765,7510,1872,154090,56501,0.8004689831592411,0.7317026843502334
B-TIA_USDT,1789559309987,0.3303,0.3304,0.33035000000000003,0.0001000000000000445,0.0003027550711475765,7495,1556,154075,56170,0.828085294442603,0.7328355014387976
B-TIA_USDT,1789559312172,0.3303,0.3304,0.33035000000000003,0.0001000000000000445,0.0003027550711475765,6119,1556,152687,56170,0.7972638436482085,0.7310600075649847
B-TIA_USDT,1789559314364,0.3303,0.3304,0.33035000000000003,0.0001000000000000445,0.0003027550711475765,6062,1596,152649,56210,0.7915904936014625,0.730871066125951
B-TIA_USDT,1789559316537,0.3303,0.3304,0.33035000000000003,0.0001000000000000445,0.0003027550711475765,3910,3519,146441,61983,0.5263157894736842,0.7026110236824934
B-TIA_USDT,1789559318708,0.3303,0.3304,0.33035000000000003,0.0001000000000000445,0.0003027550711475765,3910,3493,147554,61957,0.5281642577333513,0.7042780569993938
B-TIA_USDT,1789559320879,0.3303,0.3304,0.33035000000000003,0.0001000000000000445,0.0003027550711475765,4193,2512,153788,60976,0.6253542132736764,0.7160790449051051
B-TIA_USDT,1789559323059,0.3304,0.3305,0.33045,0.00009999999999998899,0.0003026634382566252,254,8357,119028,62533,0.029497154801997445,0.6555813197768243
B-TIA_USDT,1789559325236,0.3303,0.3304,0.33035000000000003,0.0001000000000000445,0.0003027550711475765,4281,406,154073,53181,0.9133774269255387,0.7434018161290011
B-TIA_USDT,1789559327471,0.3303,0.3304,0.33035000000000003,0.0001000000000000445,0.0003027550711475765,6823,423,154621,52532,0.9416229643941485,0.7464096585615463
B-TIA_USDT,1789559329682,0.3302,0.3303,0.33025,0.00009999999999998899,0.0003028467595396396,2371,4028,135135,57960,0.37052664478824815,0.6998368678629691
B-TIA_USDT,1789559331959,0.3302,0.3303,0.33025,0.00009999999999998899,0.0003028467595396396,898,7832,113336,65808,0.10286368843069874,0.6326530612244898
B-TIA_USDT,1789559334167,0.3302,0.3303,0.33025,0.00009999999999998899,0.0003028467595396396,969,10467,106541,66169,0.0847324239244491,0.6168780035898327
B-TIA_USDT,1789559336345,0.3301,0.3302,0.33015,0.00009999999999998899,0.0003029385034837594,5852,2945,161007,67053,0.6652267818574514,0.7059852670349908
B-TIA_USDT,1789559338522,0.3301,0.3302,0.33015,0.00009999999999998899,0.0003029385034837594,3251,4702,148854,68674,0.40877656230353326,0.6842981133463278
B-TIA_USDT,1789559340691,0.3301,0.3302,0.33015,0.00009999999999998899,0.0003029385034837594,3206,3218,149107,67190,0.49906600249066,0.6893623120061767
B-TIA_USDT,1789559342860,0.3301,0.3302,0.33015,0.00009999999999998899,0.0003029385034837594,3565,3805,149346,67795,0.4837177747625509,0.6877835139379481
B-TIA_USDT,1789559345030,0.3301,0.3302,0.33015,0.00009999999999998899,0.0003029385034837594,4046,3855,150152,67897,0.5120870775851158,0.6886158615723988
B-TIA_USDT,1789559347207,0.33,0.3301,0.33005,0.00009999999999998899,0.00030303030303026964,959,2396,110474,65062,0.28584202682563337,0.6293523835566494
B-TIA_USDT,1789559349400,0.33,0.3301,0.33005,0.00009999999999998899,0.00030303030303026964,552,4154,112083,66622,0.11729706757331067,0.6271956576480793
B-TIA_USDT,1789559351646,0.3301,0.3302,0.33015,0.00009999999999998899,0.0003029385034837594,3025,5683,83328,78488,0.3473817179604961,0.514955257823701
B-TIA_USDT,1789559353876,0.3301,0.3302,0.33015,0.00009999999999998899,0.0003029385034837594,207,6536,91624,79037,0.03069850215037817,0.5368772010008145
B-TIA_USDT,1789559356231,0.33,0.3301,0.33005,0.00009999999999998899,0.00030303030303026964,604,4969,116746,67923,0.10837968778036965,0.6321905679892131
B-TIA_USDT,1789559358427,0.33,0.3301,0.33005,0.00009999999999998899,0.00030303030303026964,654,5098,116846,71068,0.11369958275382476,0.6218057196377066
B-TIA_USDT,1789559360611,0.33,0.3301,0.33005,0.00009999999999998899,0.00030303030303026964,298,6805,117621,73633,0.04195410389976066,0.6149989019837494
B-TIA_USDT,1789559363260,0.33,0.3301,0.33005,0.00009999999999998899,0.00030303030303026964,3120,4509,125677,70207,0.40896578843885173,0.6415888995527965
B-TIA_USDT,1789559365454,0.33,0.3301,0.33005,0.00009999999999998899,0.00030303030303026964,7368,467,136170,62523,0.9403956604977665,0.6853286225483535
B-TIA_USDT,1789559367626,0.33,0.3301,0.33005,0.00009999999999998899,0.00030303030303026964,7371,499,130024,62830,0.9365946632782719,0.6742095056363882
B-TIA_USDT,1789559369813,0.3301,0.3302,0.33015,0.00009999999999998899,0.0003029385034837594,907,2934,92599,79203,0.2361364228065608,0.5389867405501683
B-TIA_USDT,1789559371990,0.3301,0.3302,0.33015,0.00009999999999998899,0.0003029385034837594,907,3134,94645,79409,0.22444939371442713,0.5437680260149149
